City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
0,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
1,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
3,Havre De Grace,US,84.43,broken clouds,39.5493,-76.0916,Super 8 by Wyndham Havre De Grace Aberdeen Area
4,Albany,US,82.58,scattered clouds,42.6001,-73.9662, 
6,Palaia Fokaia,GR,86.72,few clouds,37.72,23.9463,Plaza Resort Hotel
9,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
11,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,The Explorer Hotel
16,Atuona,PF,76.96,scattered clouds,-9.8,-139.0333,Villa Enata
17,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Toktogul,KG,75.56,clear sky,41.8708,72.9402,KAGAN
20,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
22,Amahai,ID,76.64,moderate rain,-3.3333,128.9167,HOTEL ISABELA
23,Ribeira Grande,PT,75.49,few clouds,38.5167,-28.7,Quinta da Meia Eira
27,Nowa Sol,PL,75.88,broken clouds,51.8033,15.717,Pensjonat Korona
30,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
34,Ryotsu,JP,79.03,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
38,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
40,Poum,NC,73.06,clear sky,-20.2333,164.0167, 
43,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
47,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
51,San Francisco,US,87.26,few clouds,37.7749,-122.4194,Edwardian Hotel
52,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
55,Butaritari,KI,82.2,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
58,Havelock,US,87.78,clear sky,34.8791,-76.9013,Sherwood Motel
59,Miraflores,MX,70.45,overcast clouds,19.2167,-98.8083,Hotel Mansión
61,Wuda,CN,75.24,broken clouds,39.4994,106.7117,Grape Sightseeing Garden
62,Nago,JP,82.83,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
63,Jamestown,US,73.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
64,Mahibadhoo,MV,80.42,overcast clouds,3.7833,72.9667,Omadhoo Inn
67,Bengkulu,ID,72.59,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
72,Merauke,ID,76.14,broken clouds,-8.4667,140.3333, 
74,Sturgeon Bay,US,75.6,broken clouds,44.8342,-87.377,AmericInn by Wyndham Sturgeon Bay
80,Acajutla,SV,83.46,scattered clouds,13.5928,-89.8275,Laureles
82,Mahdasht,IR,73.62,clear sky,35.7299,50.8111,مشاور املاک مهدی
83,Nizhniy Kuranakh,RU,72.66,scattered clouds,58.8353,125.4869,Park Pobedy
85,Sokoto,NG,82.4,light rain,13.0609,5.239,Grand Ibro Hotel
86,Sao Filipe,CV,78.73,overcast clouds,14.8961,-24.4956,Hotel Xaguate
87,Bonfim,BR,81.25,broken clouds,3.0833,-59.95, 
88,Tongchuan,CN,71.24,clear sky,35.0806,109.0897,Tongchuan Hotel
90,Sola,VU,80.22,clear sky,-13.8833,167.55,Leumerus Bungalows
92,Iracoubo,GF,79.48,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
96,Nhulunbuy,AU,70.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
97,Bucerias,MX,85.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
98,Ponta Do Sol,PT,84.83,broken clouds,32.6667,-17.1,Hotel do Campo
